,Biotin Condition,Class,score
SLX-21561.i701_i502,HI_Control,Biotin BV421 DAPI-A,10.283121900609771
SLX-21561.i701_i503,LO_Infected,Biotin BV421 DAPI-A,8.852235835227855
SLX-21561.i701_i505,HI_Infected,Biotin BV421 DAPI-A,9.251386341412184
SLX-21561.i701_i506,LO_Infected,Biotin BV421 DAPI-A,8.90910013492555
SLX-21561.i701_i507,HI_Control,Biotin BV421 DAPI-A,10.104794409241164
SLX-21561.i701_i508,HI_Control,Biotin BV421 DAPI-A,9.71147923015263
SLX-21561.i701_i510,HI_Control,Biotin BV421 DAPI-A,10.266775581745106
SLX-21561.i701_i511,LO_Infected,Biotin BV421 DAPI-A,8.914088348841334
SLX-21561.i702_i502,HI_Control,Biotin BV421 DAPI-A,10.80079931781248
SLX-21561.i702_i503,HI_Infected,Biotin BV421 DAPI-A,9.216918687336305
SLX-21561.i702_i505,LO_Infected,Biotin BV421 DAPI-A,8.96890555068972
SLX-21561.i702_i506,HI_Infected,Biotin BV421 DAPI-A,10.159756354282166
SLX-21561.i702_i507,LO_Control,Biotin BV421 DAPI-A,8.704833909687792
SLX-21561.i702_i508,HI_Control,Biotin BV421 DAPI-A,9.633579908183512
SLX-21561.i702_i510,HI_Control,Biotin BV421 DAPI-A,9.616405300156314
SLX-21561.i702_i511,HI_Infected,Biotin BV421 DAPI-A,9.37974553683691
SLX-21561.i703_i502,HI_Control,Biotin BV421 DAPI-A,9.4343635363174
SLX-21561.i703_i505,LO_Infected,Biotin BV421 DAPI-A,8.827028068509152
SLX-21561.i703_i506,LO_Infected,Biotin BV421 DAPI-A,9.172326929777967
SLX-21561.i703_i507,LO_Control,Biotin BV421 DAPI-A,9.046290859969677
SLX-21561.i703_i508,HI_Control,Biotin BV421 DAPI-A,9.560363239834537
SLX-21561.i703_i510,HI_Control,Biotin BV421 DAPI-A,10.57574301295352
SLX-21561.i703_i511,LO_Infected,Biotin BV421 DAPI-A,8.992681750892542
SLX-21561.i704_i502,HI_Control,Biotin BV421 DAPI-A,9.990032153936314
SLX-21561.i704_i503,LO_Infected,Biotin BV421 DAPI-A,9.137662146478197
SLX-21561.i704_i505,LO_Infected,Biotin BV421 DAPI-A,8.652073673610056
SLX-21561.i704_i506,HI_Infected,Biotin BV421 DAPI-A,9.275097619191461
SLX-21561.i704_i507,HI_Control,Biotin BV421 DAPI-A,10.201367449964355
