UMAP1,UMAP2,Biotin_Condition
6.3221574,9.158823,HI_Control
6.968654,7.437098,LO_Infected
5.6514535,7.070499,HI_Infected
6.8970265,6.3276362,LO_Infected
1.5062042,1.0695692,HI_Control
5.6983223,9.488965,HI_Control
8.586267,7.873318,HI_Control
3.7691958,2.813063,LO_Infected
7.0285783,10.288602,HI_Control
2.7695487,2.377471,HI_Infected
5.5002913,6.6666775,LO_Infected
1.030577,2.434909,HI_Infected
8.783147,9.922243,HI_Control
5.4961267,10.4938135,HI_Control
2.2956927,1.1312315,HI_Infected
5.007128,9.949811,HI_Control
4.178934,1.378528,LO_Infected
4.0351267,6.4038634,LO_Infected
7.122749,11.261629,HI_Control
7.544946,6.3037252,HI_Control
3.2012932,2.52661,LO_Infected
1.1016561,1.5024096,HI_Control
3.9315577,2.8111136,LO_Infected
2.1371315,2.3819802,LO_Infected
4.054755,7.2784643,HI_Infected
8.9042845,8.244762,HI_Control
7.885653,10.975331,HI_Control
7.7126503,11.1991625,HI_Control
4.487681,9.32281,LO_Infected
6.736711,10.968283,HI_Control
3.6734202,2.4852777,LO_Infected
4.5743284,6.048454,HI_Infected
3.7469885,5.1034327,HI_Infected
6.4686055,10.619517,HI_Control
1.4889524,2.8338466,HI_Control
7.7568517,9.00242,HI_Control
3.9575272,3.5166028,LO_Infected
6.746098,10.988468,HI_Control
5.0902586,5.59901,HI_Infected
5.1571207,8.356515,HI_Infected
4.521714,7.492755,HI_Infected
7.0277314,8.942262,HI_Control
8.620022,8.928326,HI_Control
6.368604,10.211967,HI_Control
3.621819,2.9375668,HI_Infected
6.791971,9.728222,HI_Control
7.8486123,5.8855214,LO_Infected
8.380845,5.3019953,HI_Infected
8.5895,6.884968,HI_Infected
8.383003,9.3873625,HI_Control
8.286073,9.955519,HI_Control
3.6312604,1.2629143,LO_Infected
6.9620075,10.691862,HI_Control
1.2511798,2.8267694,HI_Infected
4.268368,6.5714045,HI_Infected
3.1354642,0.9324813,LO_Infected
3.9068477,0.783106,HI_Control
8.162124,8.564768,HI_Control
3.303801,1.1388495,HI_Infected
9.106038,7.2482104,LO_Infected
1.8765317,2.7479045,HI_Control
1.7337012,0.7929662,HI_Infected
2.6364064,1.3819871,LO_Infected
8.031916,10.401331,HI_Control
9.035921,8.586756,HI_Control
6.426716,5.110441,LO_Infected
5.2323127,10.231402,HI_Control
6.0411468,5.6839614,HI_Infected
3.4585893,0.7145714,LO_Infected
9.158188,6.3950534,HI_Infected
8.351848,10.23835,HI_Control
9.087659,8.028553,HI_Control
6.5808163,7.997452,LO_Infected
6.3050256,9.384374,HI_Control
6.1785207,7.3554163,HI_Infected
7.2280154,5.8550735,HI_Infected
9.337173,5.7928953,LO_Infected
5.376668,9.602147,HI_Control
7.629993,9.339902,HI_Control
7.226064,10.520547,HI_Control
3.3229578,4.7325845,LO_Infected
1.3256907,1.2268097,HI_Control
